Statement,Label
LAW ENFORCEMENT ON HIGH ALERT Following Threats Against Cops And Whites On 9-11By #BlackLivesMatter And #FYF911 Terrorists [VIDEO],TRUE
UNBELIEVABLE! OBAMA’S ATTORNEY GENERAL SAYS MOST CHARLOTTE RIOTERS WERE “PEACEFUL” PROTESTERS…In Her Home State Of North Carolina [VIDEO],TRUE
"Bobby Jindal, raised Hindu, uses story of Christian conversion to woo evangelicals for potential 2016 bid",FALSE
SATAN 2: Russia unvelis an image of its terrifying new ‘SUPERNUKE’ – Western world takes notice,TRUE
About Time! Christian Group Sues Amazon and SPLC for Designation as Hate Group,TRUE
DR BEN CARSON TARGETED BY THE IRS: “I never had an audit until I spoke at the National Prayer Breakfast.”,TRUE
HOUSE INTEL CHAIR On Trump-Russia Fake Story: “No evidence of anything” [Video],TRUE
Sports Bar Owner Bans NFL Games…Will Show Only ‘True American’ Sports: ‘I’d like to speak for rural America’ [Video],TRUE
Latest Pipeline Leak Underscores Dangers Of Dakota Access Pipeline,TRUE
 GOP Senator Just Smacked Down The Most Punchable Alt-Right Nazi On The Internet,TRUE
"May Brexit offer would hurt, cost EU citizens - EU parliament",FALSE
Schumer calls on Trump to appoint official to oversee Puerto Rico relief,FALSE
WATCH: HILARIOUS AD Calls Into Question Health Of Aging Clinton Crime Family Bosses,TRUE
No Change Expected for ESPN Political Agenda Despite Huge Subscriber Decline - Breitbart,FALSE
Billionaire Odebrecht in Brazil scandal released to house arrest,FALSE
BRITISH WOMAN LOSES VIRGINITY To Asylum Seeking Rapist On Her Way To Church,TRUE
"U.N. seeks humanitarian pause in Sanaa where streets ""battlegrounds""",FALSE
MAJOR LIBERAL RAG RELUCTANTLY PUBLISHES Article On President Trump’s Outstanding Accomplishments…It’s How They Explain His Successes That Has Everyone Laughing,TRUE
Second judge says Clinton email setup may have been in 'bad faith',FALSE
America gives Grand Piano to horse,TRUE
Hillary’s crime family: End of days for the U.S.A,TRUE
" Sean Spicer Baffles Reporters, Claims Trump Isn’t Responsible For Hiring Flynn (VIDEO)",TRUE
"UNHOLY ALLIANCE: Hillary Clinton’s Saudi Sponsors Support Terrorism, Islamist Extremism",TRUE
 Even Trump’s Best Friend Joe Scarborough Can’t Handle His ‘Disqualifying’ KKK Support (VIDEO),TRUE
BOOM! Danish Government Considers Seizing Migrant’s Valuables To Pay For Benefits,TRUE
Supreme Court Won’t Hear Appeal From Texas on Voter ID Case - The New York Times,FALSE
Islamic State driven out of last stronghold in northern Iraq,FALSE
Senators Propose Giving States Option to Keep Affordable Care Act - The New York Times,FALSE
Do You Belong To An Extraterrestrial Lineage?,TRUE
Zimbabwe's Mugabe appears in public for first time since coup,FALSE
Credit Suisse Boss Faces Revolt From Bankers Over Strategy Shift - The New York Times,FALSE
"THE ROBBING OF INNOCENCE: 12 Yr Old Students Given CDC Survey About Transgender, Gay And Oral Sex",TRUE
"Schaeuble to head German parliament, unblocking coalition talks",FALSE
"At U.S.-China summit, Trump presses Xi on trade, North Korea; progress cited",FALSE
Clinton extends lead over Trump to 7 points: Reuters/Ipsos,FALSE
"JOE BIDEN’S SHOCKING ANNOUNCEMENT: “What the hell, man?” [Video]",TRUE
Comment une petite fille russe de 4 ans a appris à parler 7 langues,TRUE
 Emboldened NRA Threatens New York Times: ‘We’re Coming For You’ (VIDEO),TRUE
 Noam Chomsky GOES OFF On Donald Trump: ‘He’s A CLOWN!’ (VIDEO),TRUE
5 Ways The Media Responded With Butthurt To Donald Trump’s Victory,TRUE
"Iran, Russia and Turkey Agree to Enforce Syria Cease-Fire, but Don’t Explain How - The New York Times",FALSE
BREAKING: OBAMA POISED To Exact Revenge On PUTIN With Unprecedented Cyber Attack For Allegedly Exposing Hillary Emails…While Campaigning For Hillary,TRUE
"Trump says Brexit to be 'a great thing', wants quick trade deal with UK",FALSE
Sekulow: Expect ‘Whining Testimony’ from Comey ‘He Needs to ‘Grow up and Act Like an Adult’,FALSE
Mayday on the Carolina Queen - The New York Times,FALSE
"Illinois House passes $5 billion tax package, spending plan",FALSE
"AT&T, Time Warner and the Death of Privacy",TRUE
An Architect Who Built His Career on Resuscitating New York Landmarks - The New York Times,FALSE
"American dream, revisited",TRUE
Fear of Iranian general left Iraqi Kurdish oil fields deserted,FALSE
"In Once-Tolerant Mosul, a Social Unraveling That Feels Permanent - The New York Times",FALSE
U.S. patent review board becomes conservative target,FALSE
"Trump interviews four for Fed chair job, to decide in two-three weeks",FALSE
Delingpole: Top Physicist and Leading Republicans Urge Trump to Quit Paris Climate Agreement,FALSE
Internationally-backed Libyan forces attack Daesh positions in Sirte,TRUE
OBAMACARE: Wheels Slowly Falling Off The Socialized Healthcare Train…Billions Wasted,TRUE
"MSNBC, DNC reach deal to host Democratic debate in New Hampshire",FALSE
Georgetown Professors Instruct Students on How to ’Resist’ Trump Presidency - Breitbart,FALSE
U.S. House approves bill on financial regulation costs,FALSE
Ron Paul: ‘I Can’t Support Trump if He’s GOP Pick’ and ‘Neocons Will Love Hillary’,TRUE
“PROGRESSIVE” DE BLASIO VISITS IOWA: Denies He’s Running For President…So He Just Wanted To Visit Iowa?,TRUE
 Elijah Cummings Made Sure The GOP Is Well Aware They’re Hypocritical A**holes Regarding Flint,TRUE
Will FBI Director Comey’s October Surprise Derail Hillary’s White House Bid?,TRUE
Man seems to think he helped out with World War Two,TRUE
 GOP Lawmaker To Trump: Stop Acting Like A ‘Fragile’ Snowflake Over Town Hall Protests,TRUE
Trump extols corporate profits while seeking corporate tax cut,FALSE
Michael Moore Owes Me $4.99,TRUE
"Philippine ferry capsizes with 251 on board, four dead",FALSE
HILLARY DNC SPEECH: “We Are Going To Follow The Money” [VIDEO]… WHILE GEORGE SOROS Makes Stunning $25 Million Donation To Hillary And Other Dems,TRUE
"Donald Trump, Indonesia, Aleppo: Your Wednesday Evening Briefing - The New York Times",FALSE
Death toll from blasts in Somalia's capital Mogadishu tops 200,FALSE
Donald Trump Returns to Bashing ’Fake Media’,FALSE
Idiot Who Destroyed Trump Hollywood Star Gets EXACTLY What He Deserves,TRUE
"Before The Great Flood 8 Kings Ruled Earth For 241,200 Years",TRUE
Three Arrested for Starting Massive Fire on Atlanta Interstate Bridge,FALSE
"Collapsing: Why the ‘Russia Hack’ Witch Hunt Will Not End Well for Congress, or America",TRUE
White House voices concerns on Senate Sept. 11 lawsuit bill ,FALSE
‘Arab Spring’ and the Washington-Brussels-Riyadh Axis,TRUE
Women knit pink 'pussyhats' for rally after Trump inauguration,FALSE
UNsilenced: Whistleblower Exposes UN Culture of Corruption,TRUE
CNN Advertises Job Listing for Full Time ’Fake News’ Reporter,FALSE
Snapchat Discover Takes a Hard Line on Misleading and Explicit Images - The New York Times,FALSE
“IN YOUR FACE”: OBAMA LAUNCHES NEW #RefugeesWelcome Twitter Campaign On Twitter,TRUE
U.S. allies show support for strikes on Syria,FALSE
 Homophobes Lose Their Damn Minds After Request To ‘Give Elsa A Girlfriend’ Hits Twitter,TRUE
Obama trolls Trump over 'mean tweet' on late night TV,FALSE
"ANOTHER CLINTON CASUALTY? Sister Of Woman Who Allegedly Had Photos Proving Affair With Bill Clinton, Questions His Involvement In Her Mysterious House Fire Death",TRUE
